,State,County,City,Hospital,Location,Patient Rating,Completed Surveys,Survey Response Rate (%),Deaths,Population,Crude Rate,Age Adjusted Rate,% of Total Deaths
555,NJ,MERCER,HAMILTON,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL HAMILTON,"ONE HAMILTON HEALTH PLACE
HAMILTON, NJ
",2,1280,24,2925,371023,788.36,670.83,0.11
556,NJ,CAMDEN,CAMDEN,OUR LADY OF LOURDES MEDICAL CENTER,"1600 HADDON AVENUE
CAMDEN, NJ
(39.927033, -75.095704)",2,1436,22,4700,510150,921.3,783.5,0.17
557,NJ,CAMDEN,VOORHEES,VIRTUA WEST JERSEY HOSPITALS VOORHEES,"100 BOWMAN DRIVE
VOORHEES, NJ
(39.842327, -74.927892)",3,490,23,4700,510150,921.3,783.5,0.17
558,NJ,CAMDEN,CAMDEN,COOPER UNIVERSITY HOSPITAL,"1 COOPER PLAZA
CAMDEN, NJ
(39.940802, -75.115757)",3,342,19,4700,510150,921.3,783.5,0.17
559,NJ,CAMDEN,STRATFORD,KENNEDY UNIVERSITY HOSPITAL - STRATFORD DIV,"18 EAST LAUREL ROAD
STRATFORD, NJ
(39.828853, -75.008799)",3,1031,20,4700,510150,921.3,783.5,0.17
560,NJ,MORRIS,MORRISTOWN,MORRISTOWN MEDICAL CENTER,"100 MADISON AVE
MORRISTOWN, NJ
(40.787896, -74.464855)",3,3620,29,3767,498423,755.78,571.93,0.14
561,NJ,MORRIS,POMPTON PLAINS,CHILTON MEDICAL CENTER,"97 WEST PARKWAY
POMPTON PLAINS, NJ
(40.958586, -74.307835)",2,1505,23,3767,498423,755.78,571.93,0.14
562,NJ,MORRIS,DENVILLE,SAINT CLARE'S HOSPITAL/ DENVILLE CAMPUS,"25 POCONO ROAD
DENVILLE, NJ
(40.894376, -74.464479)",2,844,24,3767,498423,755.78,571.93,0.14
563,NJ,PASSAIC,PATERSON,ST JOSEPH'S REGIONAL MEDICAL CENTER,"703 MAIN ST
PATERSON, NJ
(40.902456, -74.166751)",2,2623,19,3643,507945,717.2,650.07,0.13
564,NJ,PASSAIC,PASSAIC,ST MARY'S GENERAL HOSPITAL,"350 BOULEVARD
PASSAIC, NJ
(40.85828, -74.13721)",2,385,23,3643,507945,717.2,650.07,0.13
565,NJ,UNION,ELIZABETH,TRINITAS REGIONAL MEDICAL CENTER,"225 WILLIAMSON STREET
ELIZABETH, NJ
(40.65892, -74.214355)",2,1757,31,3949,555630,710.72,627.63,0.14
566,NJ,UNION,RAHWAY,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL AT RAHWAY,"865 STONE ST
RAHWAY, NJ
(40.612237, -74.291688)",3,610,23,3949,555630,710.72,627.63,0.14
567,NJ,UNION,SUMMIT,OVERLOOK MEDICAL CENTER,"99 BEAUVOIR AVENUE
SUMMIT, NJ
(40.71241, -74.354023)",3,1820,22,3949,555630,710.72,627.63,0.14
568,NJ,MIDDLESEX,PERTH AMBOY,RARITAN BAY MEDICAL CENTER PERTH AMBOY DIVISION,"530 NEW BRUNSWICK AVE
PERTH AMBOY, NJ
(40.528287, -74.31347)",2,977,16,5971,837073,713.32,625.3,0.22
569,NJ,MIDDLESEX,EDISON,JFK MEDICAL CTR - ANTHONY M. YELENCSICS COMMUNITY,"65 JAMES STREET
EDISON, NJ
(40.55787, -74.349499)",3,323,20,5971,837073,713.32,625.3,0.22
570,NJ,MIDDLESEX,NEW BRUNSWICK,SAINT PETER'S UNIVERSITY HOSPITAL,"254 EASTON AVE
NEW BRUNSWICK, NJ
(40.501846, -74.45913)",3,333,23,5971,837073,713.32,625.3,0.22
571,NJ,MIDDLESEX,PLAINSBORO,UNIV MEDICAL CENTER OF PRINCETON AT PLAINSBORO,"ONE PLAINSBORO ROAD
PLAINSBORO, NJ
",4,733,26,5971,837073,713.32,625.3,0.22
572,NJ,MIDDLESEX,NEW BRUNSWICK,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL,"ONE ROBERT WOOD JOHNSON PLACE
NEW BRUNSWICK, NJ
",3,2364,21,5971,837073,713.32,625.3,0.22
573,NJ,BURLINGTON,BROWNS MILLS,DEBORAH HEART AND LUNG CENTER,"200 TRENTON ROAD
BROWNS MILLS, NJ
(39.977274, -74.58621)",4,513,31,4199,449284,934.6,729.04,0.15
574,NJ,BURLINGTON,MOUNT HOLLY,VIRTUA MEMORIAL HOSPITAL OF BURLINGTON COUNTY,"175 MADISON AVE
MOUNT HOLLY, NJ
(39.98583, -74.795774)",2,417,20,4199,449284,934.6,729.04,0.15
575,NJ,BURLINGTON,WILLINGBORO,LOURDES MEDICAL CENTER OF BURLINGTON COUNTY,"218A SUNSET ROAD
WILLINGBORO, NJ
(40.048632, -74.881982)",2,401,19,4199,449284,934.6,729.04,0.15
576,NJ,OCEAN,TOMS RIVER,COMMUNITY MEDICAL CENTER,"99 RT 37 WEST
TOMS RIVER, NJ
(39.965083, -74.21449)",2,3648,28,7272,592497,1227.35,747.68,0.26
577,NJ,OCEAN,BRICK,OCEAN MEDICAL CENTER,"425 JACK MARTIN BLVD
BRICK, NJ
(40.078392, -74.129871)",2,1316,28,7272,592497,1227.35,747.68,0.26
578,NJ,OCEAN,LAKEWOOD,MONMOUTH MEDICAL CENTER-SOUTHERN CAMPUS,"600 RIVER AVE
LAKEWOOD, NJ
(40.074178, -74.21735)",3,381,20,7272,592497,1227.35,747.68,0.26
579,NJ,OCEAN,MANAHAWKIN,SOUTHERN OCEAN MEDICAL CENTER,"1140 RT 72 W
MANAHAWKIN, NJ
(39.721499, -74.287136)",2,1119,28,7272,592497,1227.35,747.68,0.26
580,NJ,CUMBERLAND,VINELAND,INSPIRA MEDICAL CENTER VINELAND,"1505 W SHERMAN AVE
VINELAND, NJ
(39.447444, -75.057329)",3,1366,18,1533,153797,996.77,881.02,0.06
581,NJ,WARREN,PHILLIPSBURG,ST LUKE'S WARREN HOSPITAL,"185 ROSEBERRY ST
PHILLIPSBURG, NJ
(40.701628, -75.179608)",3,723,28,992,106617,930.43,707.24,0.04
582,NJ,WARREN,HACKETTSTOWN,HACKETTSTOWN MEDICAL CENTER,"651 WILLOW GROVE ST
HACKETTSTOWN, NJ
(40.861646, -74.81378)",2,391,24,992,106617,930.43,707.24,0.04
583,NJ,ATLANTIC,SOMERS POINT,SHORE MEDICAL CENTER,"100 MEDICAL CENTER WAY
SOMERS POINT, NJ
(39.314673, -74.592772)",4,415,28,2787,270991,1028.45,815.65,0.1
584,NJ,ATLANTIC,ATLANTIC CITY,ATLANTICARE REGIONAL MEDICAL CENTER - CITY CAMPUS,"1925 PACIFIC AVENUE
ATLANTIC CITY, NJ
(39.357791, -74.433942)",3,842,24,2787,270991,1028.45,815.65,0.1
585,NJ,SOMERSET,SOMERVILLE,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL SOMERSET,"110 REHILL AVE
SOMERVILLE, NJ
(40.568854, -74.595695)",2,1116,23,2325,333751,696.63,566.16,0.08
586,NJ,SALEM,ELMER,INSPIRA MEDICAL CENTER ELMER,"501 WEST FRONT STREET, POST OFFICE BOX 1090
ELMER, NJ
(39.588142, -75.179457)",4,477,28,769,63436,1212.25,879.75,0.03
587,NJ,SALEM,SALEM,MEMORIAL HOSPITAL OF SALEM COUNTY,"310 WOODSTOWN ROAD
SALEM, NJ
",2,466,24,769,63436,1212.25,879.75,0.03
588,NJ,GLOUCESTER,WOODBURY,INSPIRA MEDICAL CENTER WOODBURY,"509 N BROAD ST
WOODBURY, NJ
(39.843556, -75.149023)",3,964,23,2641,292330,903.43,788.91,0.1
589,NJ,MONMOUTH,NEPTUNE,JERSEY SHORE UNIVERSITY MEDICAL CENTER,"1945 RTE 33
NEPTUNE, NJ
(40.207381, -74.041336)",2,1767,25,5450,625846,870.82,661.56,0.2
590,NJ,MONMOUTH,LONG BRANCH,MONMOUTH MEDICAL CENTER,"300 SECOND AVENUE
LONG BRANCH, NJ
(40.295448, -73.983598)",4,2969,27,5450,625846,870.82,661.56,0.2
591,NJ,MONMOUTH,FREEHOLD,CENTRASTATE MEDICAL CENTER,"901 WEST MAIN STREET
FREEHOLD, NJ
(40.23566, -74.312025)",3,970,23,5450,625846,870.82,661.56,0.2
592,NJ,MONMOUTH,HOLMDEL,BAYSHORE MEDICAL CENTER,"727 N BEERS ST
HOLMDEL, NJ
(40.404203, -74.193354)",3,824,22,5450,625846,870.82,661.56,0.2
593,NJ,MONMOUTH,RED BANK,RIVERVIEW MEDICAL CENTER,"ONE RIVERVIEW PLAZA
RED BANK, NJ
",3,1038,26,5450,625846,870.82,661.56,0.2
594,CO,GARFIELD,RIFLE,GRAND RIVER MEDICAL CENTER,"501 AIRPORT ROAD
RIFLE, CO
(39.522587, -107.77201)",4,156,20,331,58887,562.09,630.41,0.01
595,CO,GARFIELD,GLENWOOD SPRINGS,VALLEY VIEW HOSPITAL ASSOCIATION,"1906 BLAKE AVE
GLENWOOD SPRINGS, CO
(39.532859, -107.322794)",4,542,24,331,58887,562.09,630.41,0.01
596,NM,BERNALILLO,ALBUQUERQUE,UNM HOSPITAL,"2211 LOMAS BOULEVARD NE
ALBUQUERQUE, NM
(35.087483, -106.618148)",3,908,16,5669,676953,837.43,732.2,0.21
597,NM,BERNALILLO,ALBUQUERQUE,LOVELACE MEDICAL CENTER,"601 DR MARTIN LUTHER KING JR AVE NE
ALBUQUERQUE, NM
(35.085622, -106.639765)",2,1204,30,5669,676953,837.43,732.2,0.21
598,NM,BERNALILLO,ALBUQUERQUE,LOVELACE WOMEN'S HOSPITAL,"4701 MONTGOMERY BOULEVARD NE
ALBUQUERQUE, NM
(35.131005, -106.591037)",3,1139,24,5669,676953,837.43,732.2,0.21
599,NM,BERNALILLO,ALBUQUERQUE,PRESBYTERIAN HOSPITAL,"1100 CENTRAL AVENUE SE
ALBUQUERQUE, NM
(35.082295, -106.63453)",3,1171,23,5669,676953,837.43,732.2,0.21
600,NM,BERNALILLO,ALBUQUERQUE,LOVELACE WESTSIDE HOSPITAL,"10501 GOLF COURSE ROAD NW
ALBUQUERQUE, NM
(35.207508, -106.675974)",4,678,30,5669,676953,837.43,732.2,0.21
601,NM,CHAVES,ROSWELL,EASTERN NEW MEXICO MEDICAL CENTER,"405 W COUNTRY CLUB ROAD
ROSWELL, NM
(33.4233, -104.527405)",2,577,26,693,65282,1061.55,917.44,0.03
602,NM,CHAVES,ROSWELL,LOVELACE REGIONAL HOSPITAL - ROSWELL,"117 EAST 19TH STREET
ROSWELL, NM
(33.415976, -104.521828)",3,527,28,693,65282,1061.55,917.44,0.03
603,NM,SANTA FE,SANTA FE,CHRISTUS ST VINCENT REGIONAL MEDICAL CENTER,"455 ST MICHAEL'S DRIVE
SANTA FE, NM
(35.657789, -105.946946)",2,516,20,1232,148651,828.79,605.08,0.04
604,NM,SAN JUAN,FARMINGTON,SAN JUAN REGIONAL MEDICAL CENTER,"801 WEST MAPLE STREET
FARMINGTON, NM
(36.724323, -108.215501)",3,979,23,1061,115079,921.98,839,0.04
605,NM,SAN JUAN,SHIPROCK,NORTHERN NAVAJO MEDICAL CENTER,"US HWY 491 NORTH
SHIPROCK, NM
",2,245,23,1061,115079,921.98,839,0.04
606,NM,RIO ARRIBA,ESPANOLA,PRESBYTERIAN ESPANOLA HOSPITAL,"1010 SPRUCE STREET
ESPANOLA, NM
(35.997101, -106.086683)",4,291,19,421,40040,1051.45,899,0.02
607,NM,OTERO,ALAMOGORDO,GERALD CHAMPION REGIONAL MEDICAL CENTER,"2669 NORTH SCENIC DRIVE
ALAMOGORDO, NM
(32.926862, -105.933917)",2,551,20,640,65410,978.44,822.74,0.02
608,CO,TELLER,WOODLAND PARK,PIKES PEAK REGIONAL HOSPITAL,"16420 HIGHWAY 24
WOODLAND PARK, CO
",4,128,31,167,24043,694.59,624.94,0.01
609,NM,SAN MIGUEL,LAS VEGAS,ALTA VISTA REGIONAL HOSPITAL,"104 LEGION DRIVE
LAS VEGAS, NM
(35.62215, -105.209851)",3,188,27,306,27760,1102.31,852.64,0.01
610,NM,TAOS,TAOS,HOLY CROSS HOSPITAL A DIV OF TAOS HEALTH SYSTEMS,"1397 WEIMER ROAD
TAOS, NM
(36.367397, -105.577458)",4,256,22,307,33065,928.47,640.63,0.01
611,NM,GRANT,SILVER CITY,GILA REGIONAL MEDICAL CENTER,"1313 E 32ND ST
SILVER CITY, NM
(32.795524, -108.260908)",3,227,19,338,28280,1195.19,721.33,0.01
612,NM,LEA,HOBBS,LEA REGIONAL MEDICAL CENTER,"5419 N LOVINGTON HIGHWAY
HOBBS, NM
(32.761794, -103.182023)",2,411,24,533,69749,764.17,860.78,0.02
613,CT,FAIRFIELD,STAMFORD,STAMFORD HOSPITAL,"ONE HOSPITAL PLAZA
STAMFORD, CT
",3,1145,22,6899,944177,730.69,585.21,0.25
614,CT,FAIRFIELD,BRIDGEPORT,BRIDGEPORT HOSPITAL,"267 GRANT STREET
BRIDGEPORT, CT
(41.188776, -73.16608)",2,654,19,6899,944177,730.69,585.21,0.25
615,CT,FAIRFIELD,GREENWICH,GREENWICH HOSPITAL ASSOCIATION -,"5 PERRYRIDGE RD
GREENWICH, CT
(41.034395, -73.629632)",4,411,27,6899,944177,730.69,585.21,0.25
616,CT,FAIRFIELD,BRIDGEPORT,ST VINCENT'S MEDICAL CENTER,"2800 MAIN ST
BRIDGEPORT, CT
(41.200083, -73.202486)",3,2073,28,6899,944177,730.69,585.21,0.25
617,CT,FAIRFIELD,NORWALK,NORWALK HOSPITAL ASSOCIATION,"24 STEVENS STREET
NORWALK, CT
(41.110415, -73.421229)",3,727,23,6899,944177,730.69,585.21,0.25
618,CT,FAIRFIELD,DANBURY,DANBURY HOSPITAL,"24 HOSPITAL AVE
DANBURY, CT
(41.406776, -73.444339)",4,513,26,6899,944177,730.69,585.21,0.25
619,CT,TOLLAND,STAFFORD SPRINGS,JOHNSON MEMORIAL HOSPITAL,"201 CHESTNUT HILL ROAD
STAFFORD SPRINGS, CT
",3,374,28,1057,151118,699.45,609.31,0.04
620,CT,TOLLAND,ROCKVILLE,ROCKVILLE GENERAL HOSPITAL,"31 UNION ST
ROCKVILLE, CT
(41.86696, -72.451043)",1,299,22,1057,151118,699.45,609.31,0.04
621,CT,NEW HAVEN,WATERBURY,SAINT MARY'S HOSPITAL,"56 FRANKLIN STEET
WATERBURY, CT
",3,788,23,7745,856875,903.87,685.9,0.28
622,CT,NEW HAVEN,MERIDEN,MIDSTATE MEDICAL CENTER,"435 LEWIS AVENUE
MERIDEN, CT
(41.550036, -72.803878)",3,1177,25,7745,856875,903.87,685.9,0.28
623,CT,NEW HAVEN,WATERBURY,WATERBURY HOSPITAL,"64 ROBBINS ST
WATERBURY, CT
(41.558269, -73.058608)",2,922,21,7745,856875,903.87,685.9,0.28
624,CT,NEW HAVEN,MILFORD,"MILFORD HOSPITAL, INC","300 SEASIDE AVENUE
MILFORD, CT
(41.217141, -73.064332)",4,410,33,7745,856875,903.87,685.9,0.28
625,CT,NEW HAVEN,NEW HAVEN,YALE-NEW HAVEN HOSPITAL,"20 YORK ST
NEW HAVEN, CT
(41.304285, -72.934689)",3,762,21,7745,856875,903.87,685.9,0.28
626,CT,NEW HAVEN,DERBY,GRIFFIN HOSPITAL,"130 DIVISION ST
DERBY, CT
(41.335978, -73.088689)",3,953,25,7745,856875,903.87,685.9,0.28
627,NM,MCKINLEY,GALLUP,REHOBOTH MCKINLEY CHRISTIAN HEALTH CARE SERVICES,"1901 RED ROCK DRIVE
GALLUP, NM
(35.5075, -108.727248)",2,206,13,668,74923,891.58,1011.43,0.02
628,NM,MCKINLEY,GALLUP,GALLUP INDIAN MEDICAL CENTER,"516 E NIZHONI BLVD
GALLUP, NM
(35.508444, -108.730226)",3,193,10,668,74923,891.58,1011.43,0.02
629,NM,CURRY,CLOVIS,PLAINS REGIONAL MEDICAL CENTER,"2100 N MARTIN LUTHER KING, JR, BLVD
CLOVIS, NM
(34.42049, -103.231763)",3,370,16,406,50280,807.48,861.09,0.01
630,NM,LOS ALAMOS,LOS ALAMOS,LOS ALAMOS MEDICAL CENTER,"3917 WEST ROAD
LOS ALAMOS, NM
(35.882165, -106.319765)",2,150,24,139,18147,765.97,547.75,0.01
631,NM,EDDY,CARLSBAD,CARLSBAD MEDICAL CENTER,"2430 WEST PIERCE STREET
CARLSBAD, NM
(32.44184, -104.258642)",3,410,23,557,57621,966.66,880.37,0.02
632,NM,DONA ANA,LAS CRUCES,MEMORIAL MEDICAL CENTER,"2450 SOUTH TELSHOR BLVD
LAS CRUCES, NM
(32.291993, -106.735018)",2,612,26,1525,214207,711.93,646.23,0.06
633,NM,DONA ANA,LAS CRUCES,MOUNTAIN VIEW REGIONAL MEDICAL CENTER,"4311 EAST LOHMAN AVENUE
LAS CRUCES, NM
(32.322639, -106.728297)",3,571,27,1525,214207,711.93,646.23,0.06
634,CT,HARTFORD,BRISTOL,BRISTOL HOSPITAL,"BREWSTER RD
BRISTOL, CT
",4,465,25,7984,892389,894.68,676.89,0.29
635,CT,HARTFORD,FARMINGTON,JOHN DEMPSEY HOSPITAL,"263 FARMINGTON AVE
FARMINGTON, CT
(41.73509, -72.79582)",4,825,26,7984,892389,894.68,676.89,0.29
636,CT,HARTFORD,HARTFORD,ST FRANCIS HOSPITAL & MEDICAL CENTER,"114 WOODLAND STREET
HARTFORD, CT
(41.77508, -72.699468)",4,5491,28,7984,892389,894.68,676.89,0.29
637,CT,HARTFORD,MANCHESTER,MANCHESTER MEMORIAL HOSPITAL,"71 HAYNES ST
MANCHESTER, CT
(41.781087, -72.525221)",2,427,22,7984,892389,894.68,676.89,0.29
638,CT,HARTFORD,HARTFORD,HARTFORD HOSPITAL,"80 SEYMOUR STREET
HARTFORD, CT
(41.754123, -72.68082)",2,2098,26,7984,892389,894.68,676.89,0.29
639,CT,HARTFORD,NEW BRITAIN,"HOSPITAL OF CENTRAL CONNECTICUT, THE","100 GRAND STREET
NEW BRITAIN, CT
(41.662015, -72.787799)",3,1541,21,7984,892389,894.68,676.89,0.29
640,NY,ALBANY,ALBANY,ALBANY MEMORIAL HOSPITAL,"600 NORTHERN BOULEVARD
ALBANY, NY
(42.674685, -73.748861)",2,610,26,2706,308846,876.16,686.34,0.1
641,NY,ALBANY,ALBANY,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34
ALBANY, NY
(42.653254, -73.77386)",2,1266,26,2706,308846,876.16,686.34,0.1
642,NY,ALBANY,ALBANY,ST PETER'S HOSPITAL,"315 SOUTH MANNING BOULEVARD
ALBANY, NY
(42.660176, -73.802382)",3,4833,33,2706,308846,876.16,686.34,0.1
643,NM,LINCOLN,RUIDOSO,LINCOLN COUNTY MEDICAL CENTER,"211 SUDDERTH DRIVE
RUIDOSO, NM
(33.323052, -105.631136)",4,150,19,219,19429,1127.18,740.17,0.01
644,NY,WYOMING,WARSAW,WYOMING COUNTY COMMUNITY HOSPITAL,"400 NORTH MAIN STREET
WARSAW, NY
(42.753447, -78.132533)",3,258,30,383,40791,938.93,780.31,0.01
645,NY,ERIE,BUFFALO,KALEIDA HEALTH,"726 EXCHANGE STREET, SUITE 522
BUFFALO, NY
(42.87459, -78.850067)",2,1394,28,9804,921046,1064.44,786.81,0.36
646,NY,ERIE,BUFFALO,SISTERS OF CHARITY HOSPITAL,"2157 MAIN STREET
BUFFALO, NY
(42.92917, -78.849916)",3,752,27,9804,921046,1064.44,786.81,0.36
647,NY,ERIE,KENMORE,KENMORE MERCY HOSPITAL,"2950 ELMWOOD AVENUE
KENMORE, NY
(42.9779, -78.878678)",4,745,38,9804,921046,1064.44,786.81,0.36
648,NY,ERIE,SPRINGVILLE,BERTRAND CHAFFEE HOSPITAL,"224 EAST MAIN STREET
SPRINGVILLE, NY
(42.508484, -78.659235)",2,420,38,9804,921046,1064.44,786.81,0.36
649,NY,ERIE,BUFFALO,ERIE COUNTY MEDICAL CENTER,"462 GRIDER STREET
BUFFALO, NY
(42.927236, -78.829151)",3,1239,25,9804,921046,1064.44,786.81,0.36
650,NY,ERIE,BUFFALO,MERCY HOSPITAL OF BUFFALO,"565 ABBOTT ROAD
BUFFALO, NY
(42.847875, -78.811876)",2,794,32,9804,921046,1064.44,786.81,0.36
651,DE,NEW CASTLE,WILMINGTON,ST FRANCIS HOSPITAL,"7TH AND CLAYTON STS
WILMINGTON, DE
",2,613,18,4678,556987,839.88,736,0.17
652,DE,NEW CASTLE,NEWARK,"CHRISTIANA CARE HEALTH SERVICES, INC.","4755 OGLETOWN-STANTON ROAD
NEWARK, DE
(39.689909, -75.673228)",3,1016,23,4678,556987,839.88,736,0.17
653,NY,ULSTER,KINGSTON,HEALTHALLIANCE HOSPITAL BROADWAY CAMPUS,"396 BROADWAY
KINGSTON, NY
(41.92635, -73.995402)",2,742,21,1764,179225,984.24,718.17,0.06
654,NY,ULSTER,KINGSTON,HEALTHALLIANCE HOSPITAL MARYS AVENUE CAMPUS,"105 MARY'S AVENUE
KINGSTON, NY
(41.922453, -73.999335)",4,136,24,1764,179225,984.24,718.17,0.06
655,NM,SANDOVAL,RIO RANCHO,UNM SANDOVAL REGIONAL MEDICAL CENTER,"3001 BROADMOOR BLVD NE
RIO RANCHO, NM
(35.307351, -106.677003)",3,320,25,1092,142025,768.88,677.94,0.04
656,NY,BRONX,BRONX,BRONX-LEBANON HOSPITAL CENTER,"1276 FULTON AVENUE
BRONX, NY
(40.83175, -73.903756)",1,640,8,9670,1455720,664.28,688.64,0.35
657,NY,BRONX,BRONX,LINCOLN MEDICAL & MENTAL HEALTH CENTER,"234 EAST 149TH STREET
BRONX, NY
(40.817681, -73.924072)",1,702,9,9670,1455720,664.28,688.64,0.35
658,NY,BRONX,BRONX,MONTEFIORE MEDICAL CENTER,"111 EAST 210TH STREET
BRONX, NY
(40.879777, -73.879975)",2,750,12,9670,1455720,664.28,688.64,0.35
659,NY,BRONX,BRONX,JACOBI MEDICAL CENTER,"1400 PELHAM PARKWAY SOUTH
BRONX, NY
(40.857455, -73.84721)",2,616,10,9670,1455720,664.28,688.64,0.35
660,NY,BRONX,BRONX,ST BARNABAS HOSPITAL,"4422 THIRD AVENUE
BRONX, NY
(40.85277, -73.892168)",1,843,10,9670,1455720,664.28,688.64,0.35
661,NY,BRONX,BRONX,NORTH CENTRAL BRONX HOSPITAL,"3424 KOSSUTH AVENUE &amp; 210TH STREET
BRONX, NY
",2,300,7,9670,1455720,664.28,688.64,0.35
662,NY,WESTCHESTER,YONKERS,ST JOSEPH'S MEDICAL CENTER,"127 SOUTH BROADWAY
YONKERS, NY
(40.929614, -73.897003)",2,192,10,7135,974542,732.14,536.92,0.26
663,NY,WESTCHESTER,BRONXVILLE,LAWRENCE HOSPITAL CENTER,"55 PALMER AVENUE
BRONXVILLE, NY
(40.941585, -73.836593)",3,1447,20,7135,974542,732.14,536.92,0.26
664,NY,WESTCHESTER,MOUNT VERNON,MONTEFIORE MOUNT VERNON HOSPITAL,"12 NORTH 7TH AVENUE
MOUNT VERNON, NY
(40.912754, -73.840011)",2,191,9,7135,974542,732.14,536.92,0.26
665,NY,WESTCHESTER,MOUNT KISCO,NORTHERN WESTCHESTER HOSPITAL,"400 EAST MAIN STREET
MOUNT KISCO, NY
(41.196692, -73.724449)",4,961,30,7135,974542,732.14,536.92,0.26
666,NY,WESTCHESTER,NEW ROCHELLE,MONTEFIORE NEW ROCHELLE HOSPITAL,"16 GUION PLACE
NEW ROCHELLE, NY
(40.912968, -73.786997)",2,436,16,7135,974542,732.14,536.92,0.26
667,NY,WESTCHESTER,YONKERS,ST JOHN'S RIVERSIDE HOSPITAL,"976 NORTH BROADWAY
YONKERS, NY
(40.96784, -73.885107)",3,873,20,7135,974542,732.14,536.92,0.26
668,NY,WESTCHESTER,VALHALLA,WESTCHESTER MEDICAL CENTER,"100 WOODS RD
VALHALLA, NY
(41.08768, -73.803897)",2,645,18,7135,974542,732.14,536.92,0.26
669,NY,WESTCHESTER,CORTLANDT MANOR,NEW YORK-PRESBYTERIAN/HUDSON VALLEY HOSPITAL,"1980 CROMPOND ROAD
CORTLANDT MANOR, NY
(41.291457, -73.893601)",3,1217,22,7135,974542,732.14,536.92,0.26
670,NY,WESTCHESTER,SLEEPY HOLLOW,PHELPS MEMORIAL HOSPITAL ASSN,"701 NORTH BROADWAY
SLEEPY HOLLOW, NY
(41.107555, -73.859639)",4,347,24,7135,974542,732.14,536.92,0.26
671,NY,WESTCHESTER,WHITE PLAINS,WHITE PLAINS HOSPITAL CENTER,"41 EAST POST R0AD
WHITE PLAINS, NY
",3,1133,24,7135,974542,732.14,536.92,0.26
672,NY,BROOME,BINGHAMTON,"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC","169 RIVERSIDE DRIVE
BINGHAMTON, NY
(42.09264, -75.935558)",3,1637,36,2051,195334,1050,744.55,0.07
673,NY,BROOME,BINGHAMTON,"UNITED HEALTH SERVICES HOSPITALS, INC","10-42 MITCHELL AVENUE
BINGHAMTON, NY
(42.088097, -75.914166)",2,348,24,2051,195334,1050,744.55,0.07
674,NY,NASSAU,EAST MEADOW,NASSAU UNIVERSITY MEDICAL CENTER,"2201 HEMPSTEAD TURNPIKE
EAST MEADOW, NY
(40.725298, -73.554413)",1,1580,22,11017,1361500,809.18,572.69,0.4
675,NY,NASSAU,MANHASSET,NORTH SHORE UNIVERSITY HOSPITAL,"300 COMMUNITY DRIVE
MANHASSET, NY
(40.779269, -73.703029)",3,425,24,11017,1361500,809.18,572.69,0.4
676,NY,NASSAU,ROSLYN,"ST FRANCIS HOSPITAL, ROSLYN","100 PORT WASHINGTON BOULEVARD
ROSLYN, NY
(40.804505, -73.672669)",4,1652,35,11017,1361500,809.18,572.69,0.4
677,NY,NASSAU,MINEOLA,NYU WINTHROP HOSPITAL,"259 FIRST STREET
MINEOLA, NY
(40.74167, -73.64344)",3,1409,24,11017,1361500,809.18,572.69,0.4
678,NY,NASSAU,ROCKVILLE CENTRE,MERCY MEDICAL CENTER,"1000 NORTH VILLAGE AVENUE
ROCKVILLE CENTRE, NY
(40.688191, -73.633236)",2,745,20,11017,1361500,809.18,572.69,0.4
679,NY,NASSAU,PLAINVIEW,PLAINVIEW HOSPITAL,"888 OLD COUNTRY ROAD
PLAINVIEW, NY
(40.774456, -73.478063)",2,609,29,11017,1361500,809.18,572.69,0.4
680,NY,NASSAU,BETHPAGE,ST JOSEPH HOSPITAL,"4295 HEMPSTEAD TURNPIKE
BETHPAGE, NY
(40.725795, -73.478755)",2,508,25,11017,1361500,809.18,572.69,0.4
681,NY,NASSAU,GLEN COVE,GLEN COVE HOSPITAL,"101 ST ANDREWS LANE
GLEN COVE, NY
",3,532,21,11017,1361500,809.18,572.69,0.4
682,NY,NASSAU,OCEANSIDE,SOUTH NASSAU COMMUNITIES HOSPITAL,"ONE HEALTHY WAY
OCEANSIDE, NY
",2,1659,24,11017,1361500,809.18,572.69,0.4
683,NY,CHENANGO,NORWICH,"CHENANGO MEMORIAL HOSPITAL, INC","179 NORTH BROAD STREET
NORWICH, NY
(42.542038, -75.524724)",3,288,29,599,48579,1233.04,852.54,0.02
684,NY,WAYNE,NEWARK,NEWARK-WAYNE COMMUNITY HOSPITAL,"111 DRIVING PARK AVENUE
NEWARK, NY
(43.059959, -77.100736)",3,811,23,896,90798,986.81,762.17,0.03
685,NY,DUTCHESS,POUGHKEEPSIE,VASSAR BROTHERS MEDICAL CENTER,"45 READE PLACE
POUGHKEEPSIE, NY
(41.694567, -73.935723)",2,4158,31,2520,294473,855.77,664.05,0.09
686,NY,DUTCHESS,RHINEBECK,NORTHERN DUTCHESS HOSPITAL,"6511 SPRINGBROOK AVENUE
RHINEBECK, NY
",4,983,36,2520,294473,855.77,664.05,0.09
